	Kingdom	Phyla	Class	Order	Family	Genus	Species	Kingdom_Eukaryome	Phylum_Eukaryome	Class_Eukaryome	Order_Eukaryome	Family_Eukaryome	Genus_Eukaryome	Species_Eukaryome
Taxa_8576	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Helvellosebacina	NA	Fungi	Basidiomycota	Agaricomycetes	Sebacinales	Sebacinaceae	Helvellosebacina	NA
Taxa_8577	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Polyozellus	sciastrus	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Pseudotomentella	NA
Taxa_8578	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Delitschiaceae	Delitschiaceae_gen_Incertae_sedis	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_8579	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	radiatolobatum
Taxa_8588	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizales_fam_Incertae_sedis	Boubovia	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_8589	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pezizaceae	Delastria	NA	Fungi	Basidiomycota	Tremellomycetes	Trichosporonales	Trichosporonaceae	Apiotrichum	akiyoshidainum
Taxa_8590	Fungi	Ascomycota	Sordariomycetes	Xylariales	Diatrypaceae	Diatrype	stigma	Fungi	Ascomycota	Sordariomycetes	Xylariales	NA	NA	NA
Taxa_8591	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	Extremus	NA	Fungi	Ascomycota	Dothideomycetes	Mycosphaerellales	Extremaceae	Extremus	NA
Taxa_8592	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
Taxa_8593	Fungi	NA	NA	NA	NA	NA	NA	Fungi	NA	NA	NA	NA	NA	NA
Taxa_8597	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	intermedia	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Sporormiaceae	Sporormiella	intermedia
Taxa_8600	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Celotheliaceae	Neophaeomoniella	NA	Fungi	Ascomycota	Eurotiomycetes	Phaeomoniellales	Celotheliaceae	Xenocylindrosporium	NA
Taxa_8607	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
Taxa_8608	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	NA
